Date,Away,Home,Attendance,Type
2021-05-07,Washington Nationals,New York Yankees,10010,R
2021-05-07,Los Angeles Dodgers,Los Angeles Angels,15316,R
2021-05-07,Boston Red Sox,Baltimore Orioles,7724,R
2021-05-07,Pittsburgh Pirates,Chicago Cubs,10343,R
2021-05-07,Cincinnati Reds,Cleveland Indians,7803,R
2021-05-07,Minnesota Twins,Detroit Tigers,7377,R
2021-05-07,Toronto Blue Jays,Houston Astros,25410,R
2021-05-07,Chicago White Sox,Kansas City Royals,16011,R
2021-05-07,Arizona Diamondbacks,New York Mets,7662,R
2021-05-08,Tampa Bay Rays,Oakland Athletics,7707,R
2021-05-08,San Diego Padres,San Francisco Giants,9764,R
2021-05-08,Colorado Rockies,St. Louis Cardinals,13390,R
2021-05-08,Seattle Mariners,Texas Rangers,26616,R
2021-05-08,Philadelphia Phillies,Atlanta Braves,39852,R
2021-05-08,Milwaukee Brewers,Miami Marlins,5764,R
2021-05-08,Washington Nationals,New York Yankees,10850,R
2021-05-08,Los Angeles Dodgers,Los Angeles Angels,15274,R
2021-05-08,Boston Red Sox,Baltimore Orioles,10598,R
2021-05-08,Pittsburgh Pirates,Chicago Cubs,10343,R
2021-05-08,Cincinnati Reds,Cleveland Indians,9968,R
2021-05-08,Minnesota Twins,Detroit Tigers,8000,R
2021-05-08,Toronto Blue Jays,Houston Astros,25794,R
2021-05-08,Chicago White Sox,Kansas City Royals,15895,R
2021-05-08,Arizona Diamondbacks,New York Mets,7908,R
2021-05-09,Tampa Bay Rays,Oakland Athletics,6911,R
2021-05-09,San Diego Padres,San Francisco Giants,10008,R
2021-05-09,Colorado Rockies,St. Louis Cardinals,13380,R
2021-05-09,Seattle Mariners,Texas Rangers,30632,R
2021-05-09,Philadelphia Phillies,Atlanta Braves,28829,R
2021-05-09,Milwaukee Brewers,Miami Marlins,5105,R
2021-05-09,Washington Nationals,New York Yankees,10092,R
2021-05-09,Los Angeles Dodgers,Los Angeles Angels,15294,R
2021-05-09,Boston Red Sox,Baltimore Orioles,10274,R
2021-05-09,Pittsburgh Pirates,Chicago Cubs,10343,R
2021-05-09,Toronto Blue Jays,Houston Astros,24355,R
2021-05-09,Chicago White Sox,Kansas City Royals,12102,R
2021-05-09,Arizona Diamondbacks,New York Mets,7880,R
2021-05-10,Cincinnati Reds,Pittsburgh Pirates,4065,R
2021-05-10,Texas Rangers,San Francisco Giants,7450,R
2021-05-10,Miami Marlins,Arizona Diamondbacks,6307,R
2021-05-10,Boston Red Sox,Baltimore Orioles,6826,R
2021-05-10,Los Angeles Angels,Houston Astros,13695,R
2021-05-11,Cincinnati Reds,Pittsburgh Pirates,4049,R
2021-05-11,Texas Rangers,San Francisco Giants,7268,R
2021-05-11,New York Yankees,Tampa Bay Rays,5441,R
2021-05-11,Toronto Blue Jays,Atlanta Braves,21688,R
2021-05-11,Minnesota Twins,Chicago White Sox,7962,R
2021-05-11,St. Louis Cardinals,Milwaukee Brewers,10595,R
2021-05-11,Miami Marlins,Arizona Diamondbacks,5560,R
2021-05-11,Oakland Athletics,Boston Red Sox,9264,R
2021-05-11,Chicago Cubs,Cleveland Indians,8024,R
2021-05-11,San Diego Padres,Colorado Rockies,8825,R
2021-05-11,Kansas City Royals,Detroit Tigers,7312,R
2021-05-11,Los Angeles Angels,Houston Astros,17350,R
2021-05-11,Seattle Mariners,Los Angeles Dodgers,15570,R
2021-05-11,Philadelphia Phillies,Washington Nationals,8559,R
2021-05-11,Baltimore Orioles,New York Mets,7930,R
2021-05-12,Cincinnati Reds,Pittsburgh Pirates,4515,R
2021-05-12,New York Yankees,Tampa Bay Rays,5668,R
2021-05-12,Toronto Blue Jays,Atlanta Braves,21171,R
2021-05-12,Minnesota Twins,Chicago White Sox,8393,R
2021-05-12,St. Louis Cardinals,Milwaukee Brewers,10226,R
2021-05-12,Miami Marlins,Arizona Diamondbacks,5714,R
2021-05-12,Oakland Athletics,Boston Red Sox,9272,R
2021-05-12,Chicago Cubs,Cleveland Indians,8589,R
2021-05-12,San Diego Padres,Colorado Rockies,11968,R
2021-05-12,Kansas City Royals,Detroit Tigers,7133,R
2021-05-12,Los Angeles Angels,Houston Astros,13668,R
2021-05-12,Seattle Mariners,Los Angeles Dodgers,15586,R
2021-05-12,Philadelphia Phillies,Washington Nationals,8610,R
2021-05-12,Baltimore Orioles,New York Mets,8035,R
2021-05-13,San Francisco Giants,Pittsburgh Pirates,4099,R
2021-05-13,Cleveland Indians,Seattle Mariners,9880,R
2021-05-13,New York Yankees,Tampa Bay Rays,6229,R
2021-05-13,Toronto Blue Jays,Atlanta Braves,21653,R
2021-05-13,Minnesota Twins,Chicago White Sox,8188,R
2021-05-13,St. Louis Cardinals,Milwaukee Brewers,10554,R
2021-05-13,Miami Marlins,Arizona Diamondbacks,5967,R
2021-05-13,Oakland Athletics,Boston Red Sox,9301,R
2021-05-13,Cincinnati Reds,Colorado Rockies,13647,R
2021-05-13,Kansas City Royals,Detroit Tigers,7369,R
2021-05-13,Texas Rangers,Houston Astros,16340,R
2021-05-13,Philadelphia Phillies,Washington Nationals,8710,R
2021-05-14,San Francisco Giants,Pittsburgh Pirates,6743,R
2021-05-14,St. Louis Cardinals,San Diego Padres,15250,R
2021-05-14,Cleveland Indians,Seattle Mariners,10014,R
2021-05-14,New York Mets,Tampa Bay Rays,7123,R
2021-05-14,Philadelphia Phillies,Toronto Blue Jays,1171,R
2021-05-14,Oakland Athletics,Minnesota Twins,9778,R
2021-05-14,Kansas City Royals,Chicago White Sox,9823,R
2021-05-14,Atlanta Braves,Milwaukee Brewers,12130,R
2021-05-14,Washington Nationals,Arizona Diamondbacks,11907,R
2021-05-14,New York Yankees,Baltimore Orioles,10809,R
2021-05-14,Los Angeles Angels,Boston Red Sox,9284,R
2021-05-14,Cincinnati Reds,Colorado Rockies,20232,R
2021-05-14,Chicago Cubs,Detroit Tigers,8000,R
2021-05-14,Texas Rangers,Houston Astros,24495,R
2021-05-14,Miami Marlins,Los Angeles Dodgers,15915,R
2021-05-15,San Francisco Giants,Pittsburgh Pirates,7833,R
2021-05-15,St. Louis Cardinals,San Diego Padres,15250,R
2021-05-15,Cleveland Indians,Seattle Mariners,10311,R
2021-05-15,New York Mets,Tampa Bay Rays,7536,R
2021-05-15,Philadelphia Phillies,Toronto Blue Jays,1397,R
2021-05-15,Oakland Athletics,Minnesota Twins,12212,R
2021-05-15,Kansas City Royals,Chicago White Sox,9886,R
2021-05-15,Atlanta Braves,Milwaukee Brewers,16344,R
2021-05-15,Washington Nationals,Arizona Diamondbacks,13462,R
2021-05-15,New York Yankees,Baltimore Orioles,10767,R
2021-05-15,Los Angeles Angels,Boston Red Sox,9374,R
2021-05-15,Cincinnati Reds,Colorado Rockies,20136,R
2021-05-15,Chicago Cubs,Detroit Tigers,8000,R
2021-05-15,Texas Rangers,Houston Astros,25858,R
2021-05-15,Miami Marlins,Los Angeles Dodgers,16116,R
2021-05-16,San Francisco Giants,Pittsburgh Pirates,7356,R
2021-05-16,St. Louis Cardinals,San Diego Padres,15250,R
2021-05-16,Cleveland Indians,Seattle Mariners,10287,R
2021-05-16,New York Mets,Tampa Bay Rays,7355,R
2021-05-16,Philadelphia Phillies,Toronto Blue Jays,1107,R
2021-05-16,Oakland Athletics,Minnesota Twins,10270,R
2021-05-16,Kansas City Royals,Chicago White Sox,9928,R
2021-05-16,Atlanta Braves,Milwaukee Brewers,16044,R
2021-05-16,Washington Nationals,Arizona Diamondbacks,11619,R
2021-05-16,New York Yankees,Baltimore Orioles,11070,R
2021-05-16,Los Angeles Angels,Boston Red Sox,9316,R
2021-05-16,Cincinnati Reds,Colorado Rockies,15541,R
2021-05-16,Chicago Cubs,Detroit Tigers,8000,R
2021-05-16,Texas Rangers,Houston Astros,26069,R
2021-05-16,Miami Marlins,Los Angeles Dodgers,15976,R
2021-05-17,Colorado Rockies,San Diego Padres,15250,R
2021-05-17,Detroit Tigers,Seattle Mariners,7201,R
2021-05-17,New York Yankees,Texas Rangers,28040,R
2021-05-17,Chicago White Sox,Minnesota Twins,8431,R
2021-05-17,New York Mets,Atlanta Braves,22691,R
2021-05-17,Cleveland Indians,Los Angeles Angels,9527,R
2021-05-17,Washington Nationals,Chicago Cubs,11144,R
2021-05-17,San Francisco Giants,Cincinnati Reds,11004,R
2021-05-17,Arizona Diamondbacks,Los Angeles Dodgers,14088,R
2021-05-18,Houston Astros,Oakland Athletics,4838,R
2021-05-18,Colorado Rockies,San Diego Padres,15250,R
2021-05-18,Detroit Tigers,Seattle Mariners,6883,R
2021-05-18,Pittsburgh Pirates,St. Louis Cardinals,14005,R
2021-05-18,New York Yankees,Texas Rangers,26522,R
2021-05-18,Boston Red Sox,Toronto Blue Jays,1566,R
2021-05-18,Chicago White Sox,Minnesota Twins,9504,R
2021-05-18,Miami Marlins,Philadelphia Phillies,11114,R
2021-05-18,New York Mets,Atlanta Braves,21667,R
2021-05-18,Cleveland Indians,Los Angeles Angels,9491,R
2021-05-18,Tampa Bay Rays,Baltimore Orioles,5429,R
2021-05-18,Washington Nationals,Chicago Cubs,11142,R
2021-05-18,San Francisco Giants,Cincinnati Reds,8745,R
2021-05-18,Milwaukee Brewers,Kansas City Royals,9298,R
2021-05-18,Arizona Diamondbacks,Los Angeles Dodgers,15313,R
2021-05-19,Houston Astros,Oakland Athletics,3925,R
2021-05-19,Colorado Rockies,San Diego Padres,15250,R
2021-05-19,Detroit Tigers,Seattle Mariners,8462,R
2021-05-19,Pittsburgh Pirates,St. Louis Cardinals,14677,R
2021-05-19,New York Yankees,Texas Rangers,31689,R
2021-05-19,Boston Red Sox,Toronto Blue Jays,1581,R
2021-05-19,Chicago White Sox,Minnesota Twins,8608,R
2021-05-19,Miami Marlins,Philadelphia Phillies,11549,R
2021-05-19,New York Mets,Atlanta Braves,22619,R
2021-05-19,Cleveland Indians,Los Angeles Angels,10378,R
2021-05-19,Tampa Bay Rays,Baltimore Orioles,6581,R
2021-05-19,Washington Nationals,Chicago Cubs,11145,R
2021-05-19,San Francisco Giants,Cincinnati Reds,10326,R
2021-05-19,Milwaukee Brewers,Kansas City Royals,8950,R
2021-05-19,Arizona Diamondbacks,Los Angeles Dodgers,15586,R
2021-05-20,Houston Astros,Oakland Athletics,4562,R
2021-05-20,New York Yankees,Texas Rangers,27581,R
2021-05-20,Boston Red Sox,Toronto Blue Jays,1562,R
2021-05-20,Miami Marlins,Philadelphia Phillies,11503,R
2021-05-20,Pittsburgh Pirates,Atlanta Braves,21430,R
2021-05-20,Minnesota Twins,Los Angeles Angels,9920,R
2021-05-20,Tampa Bay Rays,Baltimore Orioles,6916,R
2021-05-20,Washington Nationals,Chicago Cubs,11143,R
2021-05-20,San Francisco Giants,Cincinnati Reds,11656,R
2021-05-20,Arizona Diamondbacks,Los Angeles Dodgers,16105,R
2021-05-21,Seattle Mariners,San Diego Padres,15250,R
2021-05-21,Los Angeles Dodgers,San Francisco Giants,12753,R
2021-05-21,Chicago Cubs,St. Louis Cardinals,24282,R
2021-05-21,Houston Astros,Texas Rangers,30445,R
2021-05-21,Tampa Bay Rays,Toronto Blue Jays,1437,R
2021-05-21,Boston Red Sox,Philadelphia Phillies,15279,R
2021-05-21,Pittsburgh Pirates,Atlanta Braves,37545,R
2021-05-21,New York Mets,Miami Marlins,7282,R
2021-05-21,Chicago White Sox,New York Yankees,14011,R
2021-05-21,Oakland Athletics,Los Angeles Angels,14624,R
2021-05-21,Milwaukee Brewers,Cincinnati Reds,17234,R
2021-05-21,Minnesota Twins,Cleveland Indians,11675,R
2021-05-21,Arizona Diamondbacks,Colorado Rockies,18158,R
2021-05-21,Detroit Tigers,Kansas City Royals,17080,R
2021-05-21,Baltimore Orioles,Washington Nationals,14369,R
2021-05-22,Seattle Mariners,San Diego Padres,15250,R
2021-05-22,Los Angeles Dodgers,San Francisco Giants,13660,R
2021-05-22,Chicago Cubs,St. Louis Cardinals,26027,R
2021-05-22,Houston Astros,Texas Rangers,38055,R
2021-05-22,Tampa Bay Rays,Toronto Blue Jays,1514,R
2021-05-22,Boston Red Sox,Philadelphia Phillies,15424,R
2021-05-22,Pittsburgh Pirates,Atlanta Braves,40068,R
2021-05-22,New York Mets,Miami Marlins,7513,R
2021-05-22,Chicago White Sox,New York Yankees,14665,R
2021-05-22,Oakland Athletics,Los Angeles Angels,15151,R
2021-05-22,Milwaukee Brewers,Cincinnati Reds,17611,R
2021-05-22,Minnesota Twins,Cleveland Indians,11505,R
2021-05-22,Arizona Diamondbacks,Colorado Rockies,20183,R
2021-05-22,Detroit Tigers,Kansas City Royals,14226,R
2021-05-22,Baltimore Orioles,Washington Nationals,15440,R
2021-05-23,Seattle Mariners,San Diego Padres,15250,R
2021-05-23,Los Angeles Dodgers,San Francisco Giants,13346,R
2021-05-23,Chicago Cubs,St. Louis Cardinals,24082,R
2021-05-23,Houston Astros,Texas Rangers,36444,R
2021-05-23,Tampa Bay Rays,Toronto Blue Jays,1496,R
2021-05-23,Boston Red Sox,Philadelphia Phillies,15360,R
2021-05-23,Pittsburgh Pirates,Atlanta Braves,39874,R
2021-05-23,New York Mets,Miami Marlins,7945,R
2021-05-23,Chicago White Sox,New York Yankees,14007,R
2021-05-23,Oakland Athletics,Los Angeles Angels,15154,R
2021-05-23,Milwaukee Brewers,Cincinnati Reds,16171,R
2021-05-23,Minnesota Twins,Cleveland Indians,9805,R
2021-05-23,Arizona Diamondbacks,Colorado Rockies,19221,R
2021-05-23,Detroit Tigers,Kansas City Royals,15540,R
2021-05-23,Baltimore Orioles,Washington Nationals,14618,R
2021-05-24,Seattle Mariners,Oakland Athletics,3019,R
2021-05-24,Tampa Bay Rays,Toronto Blue Jays,1641,R
2021-05-24,Baltimore Orioles,Minnesota Twins,8530,R
2021-05-24,St. Louis Cardinals,Chicago White Sox,14629,R
2021-05-24,Philadelphia Phillies,Miami Marlins,4527,R
2021-05-24,San Diego Padres,Milwaukee Brewers,14524,R
2021-05-24,Cleveland Indians,Detroit Tigers,7832,R
2021-05-24,Colorado Rockies,New York Mets,8438,R
2021-05-25,Seattle Mariners,Oakland Athletics,2865,R
2021-05-25,Chicago Cubs,Pittsburgh Pirates,6750,R
2021-05-25,Kansas City Royals,Tampa Bay Rays,4946,R
2021-05-25,Baltimore Orioles,Minnesota Twins,9969,R
2021-05-25,St. Louis Cardinals,Chicago White Sox,16380,R
2021-05-25,Philadelphia Phillies,Miami Marlins,4864,R
2021-05-25,Toronto Blue Jays,New York Yankees,12025,R
2021-05-25,San Diego Padres,Milwaukee Brewers,13566,R
2021-05-25,Texas Rangers,Los Angeles Angels,10987,R
2021-05-25,San Francisco Giants,Arizona Diamondbacks,10311,R
2021-05-25,Atlanta Braves,Boston Red Sox,9357,R
2021-05-25,Cleveland Indians,Detroit Tigers,8000,R
2021-05-25,Los Angeles Dodgers,Houston Astros,34443,R
2021-05-25,Cincinnati Reds,Washington Nationals,8935,R
2021-05-25,Colorado Rockies,New York Mets,9190,R
2021-05-26,Seattle Mariners,Oakland Athletics,3571,R
2021-05-26,Chicago Cubs,Pittsburgh Pirates,5660,R
2021-05-26,Kansas City Royals,Tampa Bay Rays,4973,R
2021-05-26,Baltimore Orioles,Minnesota Twins,10574,R
2021-05-26,St. Louis Cardinals,Chicago White Sox,14791,R
2021-05-26,Philadelphia Phillies,Miami Marlins,4760,R
2021-05-26,San Diego Padres,Milwaukee Brewers,13478,R
2021-05-26,Texas Rangers,Los Angeles Angels,8547,R
2021-05-26,San Francisco Giants,Arizona Diamondbacks,8597,R
2021-05-26,Atlanta Braves,Boston Red Sox,9197,R
2021-05-26,Cleveland Indians,Detroit Tigers,7525,R
2021-05-26,Los Angeles Dodgers,Houston Astros,30939,R
2021-05-26,Cincinnati Reds,Washington Nationals,7343,R
2021-05-27,Los Angeles Angels,Oakland Athletics,5487,R
2021-05-27,Chicago Cubs,Pittsburgh Pirates,7202,R
2021-05-27,Texas Rangers,Seattle Mariners,9008,R
2021-05-27,Kansas City Royals,Tampa Bay Rays,5519,R
2021-05-27,Baltimore Orioles,Chicago White Sox,9671,R
2021-05-27,Philadelphia Phillies,Miami Marlins,4932,R
2021-05-27,Toronto Blue Jays,New York Yankees,14056,R
2021-05-27,San Diego Padres,Milwaukee Brewers,13572,R
2021-05-27,St. Louis Cardinals,Arizona Diamondbacks,8951,R
2021-05-27,Cleveland Indians,Detroit Tigers,8000,R
2021-05-27,San Francisco Giants,Los Angeles Dodgers,16343,R
2021-05-27,Cincinnati Reds,Washington Nationals,9020,R
2021-05-27,Colorado Rockies,New York Mets,9569,R
2021-05-28,Los Angeles Angels,Oakland Athletics,8757,R
2021-05-28,Texas Rangers,Seattle Mariners,10605,R
2021-05-28,Kansas City Royals,Minnesota Twins,14260,R
2021-05-28,St. Louis Cardinals,Arizona Diamondbacks,11581,R
2021-05-28,Miami Marlins,Boston Red Sox,9005,R
2021-05-28,Cincinnati Reds,Chicago Cubs,18478,R
2021-05-28,Toronto Blue Jays,Cleveland Indians,9198,R
2021-05-28,New York Yankees,Detroit Tigers,8000,R
2021-05-28,San Diego Padres,Houston Astros,32045,R
2021-05-28,San Francisco Giants,Los Angeles Dodgers,17873,R
2021-05-29,Los Angeles Angels,Oakland Athletics,9433,R
2021-05-29,Colorado Rockies,Pittsburgh Pirates,7183,R
2021-05-29,Texas Rangers,Seattle Mariners,11071,R
2021-05-29,Philadelphia Phillies,Tampa Bay Rays,7316,R
2021-05-29,Kansas City Royals,Minnesota Twins,18444,R
2021-05-29,Baltimore Orioles,Chicago White Sox,20029,R
2021-05-29,St. Louis Cardinals,Arizona Diamondbacks,17834,R
2021-05-29,Miami Marlins,Boston Red Sox,25089,R
2021-05-29,Cincinnati Reds,Chicago Cubs,24275,R
2021-05-29,New York Yankees,Detroit Tigers,8000,R
2021-05-29,San Diego Padres,Houston Astros,31323,R
2021-05-29,San Francisco Giants,Los Angeles Dodgers,19097,R
2021-05-29,Milwaukee Brewers,Washington Nationals,12529,R
2021-05-29,Atlanta Braves,New York Mets,10251,R
2021-05-30,Los Angeles Angels,Oakland Athletics,10029,R
2021-05-30,Colorado Rockies,Pittsburgh Pirates,7917,R
2021-05-30,Texas Rangers,Seattle Mariners,11198,R
2021-05-30,Philadelphia Phillies,Tampa Bay Rays,7479,R
2021-05-30,Kansas City Royals,Minnesota Twins,17923,R
2021-05-30,Baltimore Orioles,Chicago White Sox,21067,R
2021-05-30,St. Louis Cardinals,Arizona Diamondbacks,16681,R
2021-05-30,Cincinnati Reds,Chicago Cubs,24824,R
2021-05-30,Toronto Blue Jays,Cleveland Indians,11690,R
2021-05-30,New York Yankees,Detroit Tigers,8000,R
2021-05-30,San Diego Padres,Houston Astros,29019,R
2021-05-30,San Francisco Giants,Los Angeles Dodgers,18155,R
2021-05-30,Milwaukee Brewers,Washington Nationals,15326,R
2021-05-31,Oakland Athletics,Seattle Mariners,11112,R
2021-05-31,Los Angeles Angels,San Francisco Giants,13144,R
2021-05-31,Washington Nationals,Atlanta Braves,37668,R
2021-05-31,Tampa Bay Rays,New York Yankees,17008,R
2021-05-31,Detroit Tigers,Milwaukee Brewers,23917,R
2021-05-31,New York Mets,Arizona Diamondbacks,11309,R
2021-05-31,Minnesota Twins,Baltimore Orioles,11010,R
2021-05-31,San Diego Padres,Chicago Cubs,24824,R
2021-05-31,Philadelphia Phillies,Cincinnati Reds,17878,R
2021-05-31,Chicago White Sox,Cleveland Indians,10726,R
2021-05-31,Boston Red Sox,Houston Astros,28543,R
2021-05-31,Pittsburgh Pirates,Kansas City Royals,12604,R
2021-05-31,St. Louis Cardinals,Los Angeles Dodgers,18071,R
2021-06-01,Oakland Athletics,Seattle Mariners,9160,R
2021-06-01,Los Angeles Angels,San Francisco Giants,10546,R
2021-06-01,Miami Marlins,Toronto Blue Jays,5321,R
2021-06-01,Washington Nationals,Atlanta Braves,24083,R
2021-06-01,Tampa Bay Rays,New York Yankees,12537,R
2021-06-01,Detroit Tigers,Milwaukee Brewers,12058,R
2021-06-01,New York Mets,Arizona Diamondbacks,9590,R
2021-06-01,Minnesota Twins,Baltimore Orioles,5337,R
2021-06-01,San Diego Padres,Chicago Cubs,24824,R
2021-06-01,Philadelphia Phillies,Cincinnati Reds,10788,R
2021-06-01,Chicago White Sox,Cleveland Indians,7132,R
2021-06-01,Texas Rangers,Colorado Rockies,18028,R
2021-06-01,Boston Red Sox,Houston Astros,23449,R
2021-06-01,Pittsburgh Pirates,Kansas City Royals,10333,R
2021-06-01,St. Louis Cardinals,Los Angeles Dodgers,15683,R
2021-06-02,Oakland Athletics,Seattle Mariners,9588,R
2021-06-02,Miami Marlins,Toronto Blue Jays,5385,R
2021-06-02,Washington Nationals,Atlanta Braves,32752,R
2021-06-02,Tampa Bay Rays,New York Yankees,13824,R
2021-06-02,New York Mets,Arizona Diamondbacks,9810,R
2021-06-02,Minnesota Twins,Baltimore Orioles,5945,R
2021-06-02,San Diego Padres,Chicago Cubs,22056,R
2021-06-02,Texas Rangers,Colorado Rockies,19289,R
2021-06-02,Boston Red Sox,Houston Astros,22664,R
2021-06-02,St. Louis Cardinals,Los Angeles Dodgers,15889,R
2021-06-03,Miami Marlins,Pittsburgh Pirates,4192,R
2021-06-03,New York Mets,San Diego Padres,15250,R
2021-06-03,Chicago Cubs,San Francisco Giants,10737,R
2021-06-03,Cincinnati Reds,St. Louis Cardinals,15327,R
2021-06-03,Washington Nationals,Atlanta Braves,25595,R
2021-06-03,Detroit Tigers,Chicago White Sox,12845,R
2021-06-03,Tampa Bay Rays,New York Yankees,12614,R
2021-06-03,Arizona Diamondbacks,Milwaukee Brewers,12392,R
2021-06-03,Seattle Mariners,Los Angeles Angels,9714,R
2021-06-03,Texas Rangers,Colorado Rockies,19150,R
2021-06-03,Boston Red Sox,Houston Astros,24853,R
2021-06-03,Minnesota Twins,Kansas City Royals,11072,R
2021-06-04,Miami Marlins,Pittsburgh Pirates,8044,R
2021-06-04,New York Mets,San Diego Padres,16268,R
2021-06-04,Chicago Cubs,San Francisco Giants,11524,R
2021-06-04,Cincinnati Reds,St. Louis Cardinals,22756,R
2021-06-04,Tampa Bay Rays,Texas Rangers,30635,R
2021-06-04,Houston Astros,Toronto Blue Jays,5510,R
2021-06-04,Washington Nationals,Philadelphia Phillies,15030,R
2021-06-04,Los Angeles Dodgers,Atlanta Braves,40514,R
2021-06-04,Detroit Tigers,Chicago White Sox,21637,R
2021-06-04,Boston Red Sox,New York Yankees,18040,R
2021-06-04,Arizona Diamondbacks,Milwaukee Brewers,15261,R
2021-06-04,Seattle Mariners,Los Angeles Angels,15141,R
2021-06-04,Cleveland Indians,Baltimore Orioles,12009,R
2021-06-04,Oakland Athletics,Colorado Rockies,26790,R
2021-06-04,Minnesota Twins,Kansas City Royals,22612,R
2021-06-05,Miami Marlins,Pittsburgh Pirates,8714,R
2021-06-05,New York Mets,San Diego Padres,16644,R
2021-06-05,Chicago Cubs,San Francisco Giants,12792,R
2021-06-05,Cincinnati Reds,St. Louis Cardinals,23365,R
2021-06-05,Tampa Bay Rays,Texas Rangers,27237,R
2021-06-05,Houston Astros,Toronto Blue Jays,5327,R
2021-06-05,Washington Nationals,Philadelphia Phillies,16118,R
2021-06-05,Los Angeles Dodgers,Atlanta Braves,41136,R
2021-06-05,Detroit Tigers,Chicago White Sox,21719,R
2021-06-05,Boston Red Sox,New York Yankees,20019,R
2021-06-05,Arizona Diamondbacks,Milwaukee Brewers,20073,R
2021-06-05,Seattle Mariners,Los Angeles Angels,15071,R
2021-06-05,Cleveland Indians,Baltimore Orioles,9969,R
2021-06-05,Oakland Athletics,Colorado Rockies,27459,R
2021-06-05,Minnesota Twins,Kansas City Royals,21574,R
2021-06-06,Miami Marlins,Pittsburgh Pirates,5477,R
2021-06-06,New York Mets,San Diego Padres,16120,R
2021-06-06,Chicago Cubs,San Francisco Giants,14089,R
2021-06-06,Cincinnati Reds,St. Louis Cardinals,21152,R
2021-06-06,Tampa Bay Rays,Texas Rangers,26442,R
2021-06-06,Houston Astros,Toronto Blue Jays,5404,R
2021-06-06,Washington Nationals,Philadelphia Phillies,15108,R
2021-06-06,Los Angeles Dodgers,Atlanta Braves,39439,R
2021-06-06,Detroit Tigers,Chicago White Sox,20068,R
2021-06-06,Boston Red Sox,New York Yankees,19103,R
2021-06-06,Arizona Diamondbacks,Milwaukee Brewers,20117,R
2021-06-06,Seattle Mariners,Los Angeles Angels,12833,R
2021-06-06,Cleveland Indians,Baltimore Orioles,9423,R
2021-06-06,Oakland Athletics,Colorado Rockies,23716,R
2021-06-06,Minnesota Twins,Kansas City Royals,14046,R
2021-06-07,Chicago Cubs,San Diego Padres,16045,R
2021-06-07,Kansas City Royals,Los Angeles Angels,9481,R
2021-06-07,Miami Marlins,Boston Red Sox,25374,R
2021-06-08,Arizona Diamondbacks,Oakland Athletics,3695,R
2021-06-08,Los Angeles Dodgers,Pittsburgh Pirates,9047,R
2021-06-08,Chicago Cubs,San Diego Padres,16207,R
2021-06-08,Cleveland Indians,St. Louis Cardinals,16178,R
2021-06-08,Washington Nationals,Tampa Bay Rays,7173,R
2021-06-08,San Francisco Giants,Texas Rangers,24938,R
2021-06-08,New York Yankees,Minnesota Twins,17949,R
2021-06-08,Atlanta Braves,Philadelphia Phillies,13125,R
2021-06-08,Toronto Blue Jays,Chicago White Sox,12761,R
2021-06-08,Colorado Rockies,Miami Marlins,4863,R
2021-06-08,Kansas City Royals,Los Angeles Angels,9387,R
2021-06-08,New York Mets,Baltimore Orioles,9431,R
2021-06-08,Houston Astros,Boston Red Sox,23604,R
2021-06-08,Milwaukee Brewers,Cincinnati Reds,11897,R
2021-06-08,Seattle Mariners,Detroit Tigers,9081,R
2021-06-09,Arizona Diamondbacks,Oakland Athletics,4090,R
2021-06-09,Los Angeles Dodgers,Pittsburgh Pirates,10957,R
2021-06-09,Chicago Cubs,San Diego Padres,16482,R
2021-06-09,Cleveland Indians,St. Louis Cardinals,16331,R
2021-06-09,Washington Nationals,Tampa Bay Rays,7616,R
2021-06-09,San Francisco Giants,Texas Rangers,25803,R
2021-06-09,New York Yankees,Minnesota Twins,17078,R
2021-06-09,Atlanta Braves,Philadelphia Phillies,13552,R
2021-06-09,Toronto Blue Jays,Chicago White Sox,14438,R
2021-06-09,Colorado Rockies,Miami Marlins,4563,R
2021-06-09,Kansas City Royals,Los Angeles Angels,10474,R
2021-06-09,New York Mets,Baltimore Orioles,9584,R
2021-06-09,Houston Astros,Boston Red Sox,21007,R
2021-06-09,Milwaukee Brewers,Cincinnati Reds,11862,R
2021-06-09,Seattle Mariners,Detroit Tigers,9162,R
2021-06-10,Kansas City Royals,Oakland Athletics,3211,R
2021-06-10,Los Angeles Dodgers,Pittsburgh Pirates,9396,R
2021-06-10,New York Yankees,Minnesota Twins,17728,R
2021-06-10,Atlanta Braves,Philadelphia Phillies,14261,R
2021-06-10,Toronto Blue Jays,Chicago White Sox,16903,R
2021-06-10,Colorado Rockies,Miami Marlins,4965,R
2021-06-10,Houston Astros,Boston Red Sox,23378,R
2021-06-10,Milwaukee Brewers,Cincinnati Reds,12423,R
2021-06-10,Seattle Mariners,Detroit Tigers,9290,R
2021-06-11,Kansas City Royals,Oakland Athletics,6964,R
2021-06-11,Baltimore Orioles,Tampa Bay Rays,6211,R
2021-06-11,Houston Astros,Minnesota Twins,17223,R
2021-06-11,Atlanta Braves,Miami Marlins,6595,R
2021-06-11,Pittsburgh Pirates,Milwaukee Brewers,17678,R
2021-06-11,Los Angeles Angels,Arizona Diamondbacks,18458,R
2021-06-11,Toronto Blue Jays,Boston Red Sox,25257,R
2021-06-11,St. Louis Cardinals,Chicago Cubs,35112,R
2021-06-11,Colorado Rockies,Cincinnati Reds,20505,R
